Series_Title,Released_Year,Certificate,Genre,IMDB_Rating,Overview,Director,Star1,Star2,Star3,Star4,Keywords,soup
The Shawshank Redemption,1994,Adult,drama,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",frankdarabont,timrobbins,morganfreeman,bobgunton,williamsadler, ,drama frankdarabont timrobbins morganfreeman bobgunton williamsadler  
The Godfather,1972,Adult,crime  drama,9.2,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,francisfordcoppola,marlonbrando,alpacino,jamescaan,dianekeaton, ,crime  drama francisfordcoppola marlonbrando alpacino jamescaan dianekeaton  
The Dark Knight,2008,Adult,action  crime  drama,9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",christophernolan,christianbale,heathledger,aaroneckhart,michaelcaine, ,action  crime  drama christophernolan christianbale heathledger aaroneckhart michaelcaine  
The Godfather: Part II,1974,Adult,crime  drama,9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",francisfordcoppola,alpacino,robertdeniro,robertduvall,dianekeaton, ,crime  drama francisfordcoppola alpacino robertdeniro robertduvall dianekeaton  
12 Angry Men,1957,Family,crime  drama,9.0,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,sidneylumet,henryfonda,leej.cobb,martinbalsam,johnfiedler, ,crime  drama sidneylumet henryfonda leej.cobb martinbalsam johnfiedler  
The Lord of the Rings: The Return of the King,2003,Family,action  adventure  drama,8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,peterjackson,elijahwood,viggomortensen,ianmckellen,orlandobloom, ,action  adventure  drama peterjackson elijahwood viggomortensen ianmckellen orlandobloom  
Pulp Fiction,1994,Adult,crime  drama,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",quentintarantino,johntravolta,umathurman,samuell.jackson,brucewillis, ,crime  drama quentintarantino johntravolta umathurman samuell.jackson brucewillis  
Schindler's List,1993,Adult,biography  drama  history,8.9,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",stevenspielberg,liamneeson,ralphfiennes,benkingsley,carolinegoodall, ,biography  drama  history stevenspielberg liamneeson ralphfiennes benkingsley carolinegoodall  
Inception,2010,Adult,action  adventure  sci-fi,8.8,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,christophernolan,leonardodicaprio,josephgordon-levitt,elliotpage,kenwatanabe, ,action  adventure  sci-fi christophernolan leonardodicaprio josephgordon-levitt elliotpage kenwatanabe  
Fight Club,1999,Adult,drama,8.8,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",davidfincher,bradpitt,edwardnorton,meatloaf,zachgrenier, ,drama davidfincher bradpitt edwardnorton meatloaf zachgrenier  
The Lord of the Rings: The Fellowship of the Ring,2001,Family,action  adventure  drama,8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,peterjackson,elijahwood,ianmckellen,orlandobloom,seanbean, ,action  adventure  drama peterjackson elijahwood ianmckellen orlandobloom seanbean  
Forrest Gump,1994,Adult,drama  romance,8.8,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",robertzemeckis,tomhanks,robinwright,garysinise,sallyfield, ,drama  romance robertzemeckis tomhanks robinwright garysinise sallyfield  
"Il buono, il brutto, il cattivo",1966,Adult,western,8.8,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,sergioleone,clinteastwood,eliwallach,leevancleef,aldogiuffrè, ,western sergioleone clinteastwood eliwallach leevancleef aldogiuffrè  
The Lord of the Rings: The Two Towers,2002,Adult,action  adventure  drama,8.7,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",peterjackson,elijahwood,ianmckellen,viggomortensen,orlandobloom, ,action  adventure  drama peterjackson elijahwood ianmckellen viggomortensen orlandobloom  
